timestamp,rak,produk,durasi_detik
2025-05-15 14:41:56,Rak A - Minuman,Minuman,8.01
2025-05-15 14:41:56,Rak A - Buah,Buah,8.01
2025-05-15 14:42:23,Rak B - Minuman,Minuman,5.69
2025-05-15 14:42:26,Rak B - Sereal,Sereal,18.46
2025-05-15 14:42:38,Rak A - Snack,Snack,11.22
2025-05-15 14:42:38,Rak A - Minuman,Minuman,11.22
2025-05-15 14:42:38,Rak A - Buah,Buah,11.22
2025-05-15 14:42:38,Rak B - Sereal,Sereal,0.22
2025-05-15 14:42:39,Rak B - Sereal,Sereal,0.25
